source,dataset,seed,stress,model,params,calibration_abs_bias,calibration_enabled,mse,mae,latency_p50_ms,latency_p95_ms,latency_mean_ms,capacity_under_rate,capacity_over_rate,capacity_mean_under,capacity_mean_over,capacity_cost,max_memory_mb
salesforce_borg,salesforce_borg_256x2048,42,clean,race_dlinear,4672,0.0249150302261114,1.0,0.0247299559414386,0.0842605605721473,0.3668635035865009,0.3835974843241274,0.3690599027322605,0.3503542036767872,0.6496378055017227,0.017518188804388,0.2220486551523208,0.1379166692495346,18
salesforce_borg,salesforce_borg_256x2048,42,clean,dlinear,2336,0.0,0.0,0.0247910115867853,0.0879359394311904,0.1432140124961733,0.1495239383075385,0.1420254731783643,0.1776624576065891,0.8223337572674418,0.0147086726501584,0.2504206001758575,0.1471434831619262,17
salesforce_borg,salesforce_borg_256x2048,42,clean,patchtst,126232,0.0,0.0,0.0269569512456655,0.0903578773140907,0.6535474676638842,0.6660825863946229,0.658804940758273,0.3508635134043927,0.6491289163436692,0.0204542353749275,0.2182250618934631,0.1430510878562927,37
salesforce_borg,salesforce_borg_256x2048,42,missing_30,patchtst,126232,0.0,0.0,0.0346036329865455,0.1077209413051605,0.6214880268089473,0.6376720382831991,0.6244427961064503,0.2192883290267011,0.7807070447082257,0.0208393186330795,0.2845552563667297,0.1743376404047012,37
salesforce_borg,salesforce_borg_256x2048,42,missing_30,dlinear,2336,0.0,0.0,0.0381922908127307,0.1303306072950363,0.1379039604216814,0.1498119614552706,0.1396361971274018,0.2175429653854435,0.7824540906276917,0.0214505828917026,0.2844334840774536,0.2003692388534546,17
salesforce_borg,salesforce_borg_256x2048,42,missing_30,race_dlinear,4672,0.0384440384805202,1.0,0.0393348969519138,0.1321854293346405,0.3570139524526894,0.3758395032491535,0.3594289213651791,0.3026822243755383,0.6973106259420758,0.0272244904190301,0.2405354529619217,0.183669701218605,18
salesforce_borg,salesforce_borg_256x2048,42,missing_variables_30,patchtst,126232,0.0,0.0,0.1019908264279365,0.1928238421678543,0.6798625108785927,0.7032010180409998,0.6835764303104952,0.4312473924687769,0.5687374670273471,0.0407534278929233,0.4095433354377746,0.2908521592617035,37
salesforce_borg,salesforce_borg_256x2048,42,missing_variables_30,race_dlinear,4672,0.2069994211196899,1.0,0.1590935736894607,0.2864929139614105,0.3779584658332169,0.4012045275885612,0.3811560658505186,0.4496742268249354,0.5503190440622309,0.1219092980027198,0.2915952801704407,0.4194216728210449,18
salesforce_borg,salesforce_borg_256x2048,42,missing_variables_30,dlinear,2336,0.0,0.0,0.1608713716268539,0.2800773978233337,0.1495899632573127,0.1651685102842748,0.1519492507213726,0.2322763579349698,0.7677202775086133,0.0648670941591262,0.5268940925598145,0.4506387114524841,17
salesforce_borg,salesforce_borg_256x2048,42,delayed_12,dlinear,2336,0.0,0.0,0.0358550362288951,0.1076015457510948,0.1452795113436877,0.1621284405700862,0.1476139499573037,0.0850055178725236,0.9149944821274764,0.0215167514979839,0.2608354687690735,0.1716215163469314,17
