pool,dataset,stress,model,seeds,mse_mean,mse_std,mae_mean,mae_std,capacity_cost_mean,capacity_cost_std,latency_p95_mean,latency_p95_std,complete_5_seed
core_lightweight,alibaba2018,clean,dlinear,5,0.2681289851665497,0.000616787469274301,0.3813725471496582,0.0015086190638793902,0.41508387923240664,0.014660155819978316,0.15875287703238422,0.01523598815453172,True
core_lightweight,alibaba2018,clean,patchtst,5,0.2814915955066681,0.0035959252467629922,0.39033297300338743,0.004843205742176629,0.4298716843128204,0.024655281414163167,0.7114162680227308,0.02821558060058448,True
core_lightweight,alibaba2018,clean,race_dlinear,5,0.2668842256069183,0.00042351476555988713,0.3780648648738861,0.0006776606390501243,0.4091206669807434,0.009355172845237196,0.4535766888875513,0.09622729571132428,True
core_lightweight,alibaba2018,delayed_12,dlinear,5,0.3128305792808533,0.0014483578358775223,0.42080180048942567,0.0014817592988755233,0.46291696429252627,0.03227276308329351,0.15875316923484203,0.017992740995856092,True
core_lightweight,alibaba2018,delayed_12,patchtst,5,0.3257633924484253,0.008213245528673082,0.4302003920078278,0.009121172838326325,0.47670852541923525,0.025536349056942527,0.6912468862719833,0.03565374070721597,True
core_lightweight,alibaba2018,delayed_12,race_dlinear,5,0.31070215702056886,0.0010650423483646813,0.41586573123931886,0.0013209548386040161,0.45177353620529176,0.008064140750503317,0.3727777686435729,0.016688023771109273,True
core_lightweight,alibaba2018,level_shift,dlinear,5,0.26876471638679506,0.0008961714913312286,0.3821498274803161,0.0011501021628190036,0.4172589838504791,0.013406408752764004,0.15060010598972434,0.006070938492862519,True
core_lightweight,alibaba2018,level_shift,patchtst,5,0.2788948953151703,0.005191269442921598,0.38762246966361996,0.005523535888142144,0.4108710169792175,0.013320493341403037,0.6933805765584111,0.04519665210394726,True
core_lightweight,alibaba2018,level_shift,race_dlinear,5,0.26737754940986636,0.0006412084961657389,0.3785686194896698,0.0014113793220776828,0.4040616512298584,0.008002937219708656,0.38148408289998764,0.005036141125337119,True
core_lightweight,alibaba2018,missing_30,dlinear,5,0.28602969050407406,0.0007994231968012565,0.40459378361701964,0.0013705606902432756,0.5199315547943115,0.010115381676289479,0.16137197497300798,0.014700476619685713,True
core_lightweight,alibaba2018,missing_30,patchtst,5,0.28802308440208435,0.0016139901505650568,0.3981941819190979,0.0005770082630901451,0.4377161145210266,0.01447155760679897,0.6801619543693959,0.04398579853657925,True
core_lightweight,alibaba2018,missing_30,race_dlinear,5,0.2845475792884826,0.0005626062922037747,0.4014251172542572,0.0006915720305175952,0.5169947445392609,0.0108393300911088,0.4221327602863312,0.07038147711368631,True
core_lightweight,alibaba2018,missing_variables_30,dlinear,5,0.46218193769454957,0.0017098464625598753,0.5353838324546814,0.0011286006824216452,0.9161841750144959,0.023429181440676763,0.18011750187724823,0.07482619883747169,True
core_lightweight,alibaba2018,missing_variables_30,patchtst,5,0.35027569532394404,0.004473214976530892,0.44093040823936464,0.0057672199547199815,0.5163737833499908,0.022277469587775763,0.662170221330598,0.04811439933396511,True
core_lightweight,alibaba2018,missing_variables_30,race_dlinear,5,0.4498383641242981,0.002293883114839621,0.5165956020355225,0.002157775981837978,0.8610929727554322,0.012569836093557408,0.3702907694969326,0.017657826166916985,True
core_lightweight,salesforce_borg,clean,dlinear,5,0.025060717016458477,0.0004631566712392514,0.08841817826032634,0.0007012484815047387,0.14968320131301877,0.0023593172486797128,0.16443277476355428,0.0159638213700089,True
core_lightweight,salesforce_borg,clean,patchtst,5,0.02782023809850212,0.0011076316899953289,0.09693449586629864,0.006665915337242512,0.1614815533161163,0.014167438511109779,0.709180028643459,0.06463276763013545,True
core_lightweight,salesforce_borg,clean,race_dlinear,5,0.02521178163588042,0.00037551895752303144,0.08617657721042629,0.0022665190346757625,0.13955413401126862,0.0033390189105496682,0.39536721189506346,0.03190230129993278,True
core_lightweight,salesforce_borg,delayed_12,dlinear,5,0.03629707545042032,0.00039620549699754816,0.10913081169128414,0.0035931911120379943,0.17570162415504453,0.0066489079223981395,0.15510170836932952,0.011805768061531002,True
core_lightweight,salesforce_borg,delayed_12,patchtst,5,0.04001190736889834,0.0009083657470167874,0.11623080074787136,0.00656542630681408,0.1902139008045196,0.015367805163833058,0.640133008128032,0.025045784211058793,True
core_lightweight,salesforce_borg,delayed_12,race_dlinear,5,0.036928606033325165,0.0006202243627521653,0.10321855694055553,0.001242822878818629,0.15721117556095118,0.0017441843032027524,0.3702535037882625,0.019863599726388858,True
core_lightweight,salesforce_borg,level_shift,dlinear,5,0.02501857131719586,0.00039048091813187686,0.08759061992168424,0.0007084564917032698,0.14785782396793362,0.002927563594584221,0.1507941237650811,0.008604429453702041,True
core_lightweight,salesforce_borg,level_shift,patchtst,5,0.027730249240994383,0.0007749007241679848,0.09711260050535198,0.005072033630825031,0.16211150288581846,0.009628937408341023,0.6871737889014183,0.03228897136465831,True
core_lightweight,salesforce_borg,level_shift,race_dlinear,5,0.025263265892863217,0.0002540051862204156,0.08670158386230466,0.0030644483005442535,0.1398255884647369,0.004269906500346121,0.43860834673978377,0.08102710970378123,True
core_lightweight,salesforce_borg,missing_30,dlinear,5,0.03812717571854586,9.121835843087979e-05,0.13062537312507624,0.0006049778752713478,0.19974172115325922,0.0026597165450039932,0.15532932593487198,0.005349626132083621,True
core_lightweight,salesforce_borg,missing_30,patchtst,5,0.03492305874824518,0.0007825314795971346,0.11030665189027782,0.004834763664730549,0.18107632398605344,0.007381172294295099,0.7307456654962152,0.104271434647733,True
core_lightweight,salesforce_borg,missing_30,race_dlinear,5,0.0386265225708484,0.00048430776945372384,0.13069563806056975,0.0011683999162469946,0.18321746289730068,0.001303309783303509,0.4257351683918385,0.04520747747578963,True
core_lightweight,salesforce_borg,missing_variables_30,dlinear,5,0.16283830404281613,0.0019714806338502443,0.28741444349288936,0.005138197632489474,0.4480922043323517,0.0038066154911717926,0.15966870007105163,0.016450942309212638,True
core_lightweight,salesforce_borg,missing_variables_30,patchtst,5,0.09266329556703565,0.008274211793527306,0.1780941307544708,0.011506259389322059,0.284948182106018,0.01500334309715663,0.7075804250780493,0.051358777435724125,True
core_lightweight,salesforce_borg,missing_variables_30,race_dlinear,5,0.16112496256828304,0.0029245231206889294,0.2903055548667907,0.005533556291194589,0.41608073711395266,0.0034853849661874406,0.3830105275847018,0.014071060236413337,True
official_probe,alibaba2018,clean,official_itransformer_native,1,0.2744022905826568,,0.3743766546249389,,0.3813773691654205,,1.960453498759307,,False
official_probe,alibaba2018,clean,official_patchtst,1,0.2747677266597748,,0.3764041662216186,,0.3814244270324707,,2.15040048933588,,False
official_probe,alibaba2018,clean,official_timemixer,1,0.2769900858402252,,0.3798676431179046,,0.3826494216918945,,4.968897506478243,,False
official_probe,alibaba2018,delayed_12,official_itransformer_native,1,0.3147231638431549,,0.4072796106338501,,0.4255457818508148,,2.0317129426985048,,False
official_probe,alibaba2018,delayed_12,official_patchtst,1,0.3210059404373169,,0.4157555699348449,,0.4128373563289642,,1.7524235547170974,,False
official_probe,alibaba2018,delayed_12,official_timemixer,1,0.3110321760177612,,0.407214879989624,,0.4273279011249542,,4.514567447768059,,False
official_probe,alibaba2018,level_shift,official_itransformer_native,1,0.2806644737720489,,0.3873281180858612,,0.3934661448001861,,1.7608159512747077,,False
official_probe,alibaba2018,level_shift,official_patchtst,1,0.2833675444126129,,0.3936988115310669,,0.4273713827133178,,2.006690503912978,,False
official_probe,alibaba2018,level_shift,official_timemixer,1,0.2757658660411834,,0.3814839124679565,,0.3958964049816131,,3.6215070256730537,,False
official_probe,alibaba2018,missing_30,official_itransformer_native,1,0.3012449145317077,,0.4101364016532898,,0.4368639290332794,,2.529840424540452,,False
official_probe,alibaba2018,missing_30,official_patchtst,1,0.2869473695755005,,0.3961051404476166,,0.4220888018608093,,2.0094209714443423,,False
official_probe,alibaba2018,missing_30,official_timemixer,1,0.2859092652797699,,0.3947429060935974,,0.4395442008972168,,4.99154699355131,,False
official_probe,alibaba2018,missing_variables_30,official_itransformer_native,1,0.5308850407600403,,0.5214694142341614,,1.1594767570495603,,1.6560439893510193,,False
official_probe,alibaba2018,missing_variables_30,official_patchtst,1,0.5295271277427673,,0.5195890069007874,,1.1468664407730105,,1.9886839436367152,,False
official_probe,alibaba2018,missing_variables_30,official_timemixer,1,0.5219794511795044,,0.5170495510101318,,1.151862859725952,,5.815743452694733,,False
official_probe,salesforce_borg,clean,official_itransformer_native,1,0.0280383005738258,,0.0846590176224708,,0.1314815729856491,,1.7226499563548707,,False
official_probe,salesforce_borg,clean,official_patchtst,1,0.0253262482583522,,0.0814702808856964,,0.1334743797779083,,1.5875509838224389,,False
official_probe,salesforce_borg,clean,official_timemixer,1,0.0247524604201316,,0.0779961720108985,,0.1284787952899933,,3.677954550948925,,False
official_probe,salesforce_borg,delayed_12,official_itransformer_native,1,0.041508998721838,,0.1116198673844337,,0.1641468703746795,,1.5894619602477178,,False
official_probe,salesforce_borg,delayed_12,official_patchtst,1,0.0381763353943824,,0.1029510274529457,,0.1520895510911941,,1.974647976749111,,False
official_probe,salesforce_borg,delayed_12,official_timemixer,1,0.0369891934096813,,0.103043757379055,,0.1577249616384506,,4.331569997884799,,False
official_probe,salesforce_borg,level_shift,official_timemixer,1,0.0294316746294498,,0.1018821746110916,,0.1650648415088653,,3.943601982609834,,False
official_probe,salesforce_borg,missing_30,official_itransformer_native,1,0.0496115908026695,,0.129963219165802,,0.1959575116634369,,1.6178774938452989,,False
official_probe,salesforce_borg,missing_30,official_patchtst,1,0.0325454100966453,,0.0984600260853767,,0.151774600148201,,1.72124546370469,,False
official_probe,salesforce_borg,missing_30,official_timemixer,1,0.0301317572593688,,0.0993911027908325,,0.1566644012928009,,5.033564050972927,,False
official_probe,salesforce_borg,missing_variables_30,official_itransformer_native,1,0.2006706595420837,,0.2759579718112945,,0.4730903208255768,,1.5885035434621386,,False
official_probe,salesforce_borg,missing_variables_30,official_patchtst,1,0.2221856564283371,,0.2672571539878845,,0.4854600727558136,,2.0140004533459432,,False
official_probe,salesforce_borg,missing_variables_30,official_timemixer,1,0.2186122834682464,,0.2634919881820678,,0.4827869832515716,,5.003629434213508,,False
