source,dataset,stress,latency_budget_ms,policy,selected_model,mse,capacity_cost,latency_p95_ms,budget_feasible,route_model_count,capacity_cost_vs_dlinear,latency_vs_dlinear,capacity_cost_vs_patchtst,latency_vs_patchtst,latency_constrained_regret,latency_constrained_regret_ratio,capacity_oracle_gap
alibaba2018,alibaba2018,burst,0.2,fixed_dlinear,dlinear,0.4438340365886688,0.6317422986030579,0.1419774518581107,True,1,0.0,0.0,0.4074689943889819,-0.7724266317470437,0.0,0.0,0.0
alibaba2018,alibaba2018,burst,0.2,fixed_patchtst,patchtst,0.3237220346927643,0.4488498866558075,0.6238755129743367,False,1,-0.2895047748926608,3.3941872798071127,0.0,0.0,-0.1828924119472503,-0.2895047748926608,-0.2895047748926608
alibaba2018,alibaba2018,burst,0.2,stressroute_v1,dlinear,0.4438340365886688,0.6317422986030579,0.1419774518581107,True,1,0.0,0.0,0.4074689943889819,-0.7724266317470437,0.0,0.0,0.0
alibaba2018,alibaba2018,burst,0.2,stressroute_v2,dlinear,0.4438340365886688,0.6317422986030579,0.1419774518581107,True,1,0.0,0.0,0.4074689943889819,-0.7724266317470437,0.0,0.0,0.0
alibaba2018,alibaba2018,burst,0.2,oracle,oracle,0.4438340365886688,0.6317422986030579,0.1419774518581107,True,1,0.0,0.0,0.4074689943889819,-0.7724266317470437,0.0,0.0,0.0
alibaba2018,alibaba2018,burst,0.5,fixed_dlinear,dlinear,0.4438340365886688,0.6317422986030579,0.1419774518581107,True,1,0.0,0.0,0.4074689943889819,-0.7724266317470437,0.0409255027770996,0.0692693624592814,0.0692693624592814
alibaba2018,alibaba2018,burst,0.5,fixed_patchtst,patchtst,0.3237220346927643,0.4488498866558075,0.6238755129743367,False,1,-0.2895047748926608,3.3941872798071127,0.0,0.0,-0.1419669091701507,-0.2402892236191117,-0.2402892236191117
alibaba2018,alibaba2018,burst,0.5,stressroute_v1,race_dlinear,0.4016504287719726,0.6306462287902832,0.3564464495866559,True,1,-0.0017349951320314,1.5105849198003714,0.4050270425352318,-0.4286577335159515,0.0398294329643249,0.0674141853205842,0.0674141853205842
alibaba2018,alibaba2018,burst,0.5,stressroute_v2,dlinear,0.4363265335559845,0.629021406173706,0.3564464495866559,True,2,-0.0043069657285389,1.5105849198003714,0.4014070736661673,-0.4286577335159515,0.0382046103477478,0.0646640559605926,0.0646640559605926
alibaba2018,alibaba2018,burst,0.5,oracle,oracle,0.3688572347164154,0.5908167958259583,0.3564464495866559,True,2,-0.0647819575602207,1.5105849198003714,0.3162903977271482,-0.4286577335159515,0.0,0.0,0.0
