source,model,mse,mae,latency_p95_ms,capacity_cost,params,max_memory_mb
alibaba2018,race_dlinear,0.2670906484127044,0.378250777721405,0.3549950437445659,0.4107328355312347,4668.0,17.0
alibaba2018,dlinear,0.2696618735790252,0.3836763501167297,0.1368915516650304,0.4056036472320556,2334.0,17.0
alibaba2018,official_itransformer_native,0.2744022905826568,0.3743766546249389,1.960453498759307,0.3813773691654205,280728.0,30.0
alibaba2018,official_patchtst,0.2747677266597748,0.3764041662216186,2.15040048933588,0.3814244270324707,305560.0,155.0
alibaba2018,patchtst,0.2753048241138458,0.38452810049057,0.6482360018708277,0.4246212542057037,124184.0,37.0
alibaba2018,official_timemixer,0.2769900858402252,0.3798676431179046,4.968897506478243,0.3826494216918945,128841.0,178.0
alibaba2018,chronos_bolt_reference,0.3922361135482788,0.4705328941345215,10.9500314516481,0.3942422866821289,,26.0
alibaba2018,last_value,0.4082382917404175,0.4475463330745697,0.0734164976165629,0.4657059907913208,0.0,0.0
gaia,last_value,0.0008783243247307655,0.0036558629217324497,0.07374837750830912,289.1500847544521,0.0,0.0
gaia,dlinear,0.0009427759778190749,0.008057118393480726,0.10958040929835983,671940141.897522,2330.0,16.0
gaia,race_dlinear,0.0010258882430206999,0.010643999325111425,0.2925852784755989,313205038.5048016,4660.0,16.0
gaia,patchtst,0.024285447696456627,0.040144600206986,0.6527053717945818,3089330454.470215,120088.0,36.0
netman,patchtst,0.0047304569743573,0.0366599150002002,0.9261370112653818,5.823477268218994,120088.0,36.0
netman,dlinear,0.0049148248508572,0.0318043977022171,0.2050504044746041,1.9608862400054927,2330.0,16.0
netman,race_dlinear,0.0051154335960745,0.0325534865260124,0.7466004994057585,2.696213960647583,4660.0,16.0
netman,last_value,0.0053965635597705,0.0318769812583923,0.0780305010266601,1.3523415327072144,0.0,0.0
salesforce_borg,chronos_bolt_reference,4.71990915684728e-06,0.001965494826436,10.848486446775496,0.0133321024477481,,26.0
salesforce_borg,official_timemixer,0.0247524604201316,0.0779961720108985,3.677954550948925,0.1284787952899933,129363.0,179.0
salesforce_borg,official_patchtst,0.0253262482583522,0.0814702808856964,1.5875509838224389,0.1334743797779083,305560.0,209.0
salesforce_borg,official_itransformer_native,0.0280383005738258,0.0846590176224708,1.7226499563548707,0.1314815729856491,280728.0,34.0
