source,stress,model,headroom,total_cost,under_area,over_area,peak_miss,p95_ms
alibaba2018,clean,dlinear,0.05,0.44485660921782255,0.060042492114007424,0.14464414864778516,0.8473597146060797,0.1725623773381812
alibaba2018,clean,race_dlinear,0.05,0.4562661061063409,0.06412193085998293,0.135656451806426,0.8552431197052364,0.39813703115214594
alibaba2018,clean,patchtst,0.05,0.47459742426872253,0.06850820034742353,0.1320564225316047,0.8562667882301991,0.6937822698091622
alibaba2018,clean,last_value,0.05,0.5703977346420288,0.08534361794590944,0.14367964491248128,0.8729574904359789,0.08602911293564827
alibaba2018,clean,dlinear,0.15,0.3997925631701946,0.035335868597030626,0.2231132201850414,0.7193388621726349,0.1725623773381812
alibaba2018,clean,race_dlinear,0.15,0.40187212731689215,0.0380677310749888,0.21153347194194794,0.7364308861332284,0.39813703115214594
alibaba2018,clean,patchtst,0.15,0.4100538995116949,0.040889186784625026,0.20560796558856959,0.7271873021377506,0.6937822698091622
alibaba2018,clean,last_value,0.15,0.5016580075025558,0.05710797384381287,0.2161181382834911,0.7850003973329772,0.08602911293564827
alibaba2018,clean,patchtst,0.3,0.43284062319435174,0.019394333707168625,0.3358689546585083,0.47596440218152586,0.6937822698091622
alibaba2018,clean,race_dlinear,0.3,0.4347886624746024,0.018071053083986,0.34443339705467224,0.503142905853143,0.39813703115214594
alibaba2018,clean,dlinear,0.3,0.44192700972780585,0.016564379911869723,0.35910511016845703,0.48268315492256175,0.1725623773381812
alibaba2018,clean,last_value,0.3,0.5034664021804929,0.03224084619432682,0.3422621712088585,0.6183224619096447,0.08602911293564827
alibaba2018,delayed_12,dlinear,0.05,0.48096223548054695,0.06458297371864317,0.15804736688733095,0.8372892013428023,0.18637987050169605
alibaba2018,delayed_12,race_dlinear,0.05,0.49482036009430885,0.06976690143346781,0.1459858529269695,0.8453529924764388,0.4445053986273706
alibaba2018,delayed_12,patchtst,0.05,0.49581585824489594,0.06919474527239797,0.1498421318829059,0.8337512558044957,0.7636058755451811
alibaba2018,delayed_12,last_value,0.05,1.0858544893562794,0.17231470346450803,0.22428097203373903,0.7936271475926262,0.620883860028698
alibaba2018,delayed_12,dlinear,0.15,0.4309751931577921,0.038915185257792445,0.23639926686882967,0.7306573305666466,0.18637987050169605
alibaba2018,delayed_12,race_dlinear,0.15,0.4340737424790859,0.04257957264780993,0.22117587924003596,0.7479643680027048,0.4445053986273706
alibaba2018,delayed_12,patchtst,0.15,0.4355676686391234,0.042020197026431526,0.2254666835069656,0.7115917953276973,0.7636058755451811
alibaba2018,delayed_12,last_value,0.15,0.9388143569231033,0.13113009929656977,0.2831638604402542,0.7496110310761851,0.620883860028698
alibaba2018,delayed_12,race_dlinear,0.3,0.456808318849653,0.020774364005774225,0.35293649882078165,0.5309565684443601,0.4445053986273706
alibaba2018,delayed_12,patchtst,0.3,0.4590408196672797,0.020232635550200877,0.357877641916275,0.47411056655084893,0.7636058755451811
alibaba2018,delayed_12,dlinear,0.3,0.46536890091374516,0.01864251727238295,0.3721563145518303,0.506248630722268,0.18637987050169605
alibaba2018,delayed_12,last_value,0.3,0.7972903251647949,0.08252587169408795,0.38466096669435496,0.6522783752611873,0.620883860028698
alibaba2018,missing_30,dlinear,0.05,0.46388455480337143,0.06274947524070737,0.1501371785998344,0.8508397753739289,0.16481599996041035
alibaba2018,missing_30,race_dlinear,0.05,0.47625291533768177,0.06722626090049738,0.14012161083519453,0.8602710348450877,0.40655626398802264
alibaba2018,missing_30,patchtst,0.05,0.47689042426645756,0.06826310046017164,0.13557492196559903,0.8622762265652703,0.7676962351979455
alibaba2018,missing_30,last_value,0.05,0.7240106891840696,0.11117309890687463,0.16814519464969632,0.8489883313380121,0.07874584553064776
alibaba2018,missing_30,patchtst,0.15,0.4129933211952448,0.040692089125514,0.20953287556767464,0.7423832077453695,0.7676962351979455
alibaba2018,missing_30,dlinear,0.15,0.41451483126729727,0.03728100936859842,0.22810978442430493,0.7353568293769355,0.16481599996041035
alibaba2018,missing_30,race_dlinear,0.15,0.41709924954921007,0.04035720694810148,0.21531321480870247,0.7542618723819997,0.40655626398802264
alibaba2018,missing_30,last_value,0.15,0.6320414058864117,0.07908750325441358,0.2366038896143436,0.7745027594045716,0.07874584553064776
alibaba2018,missing_30,patchtst,0.3,0.4363179672509432,0.019197287037968625,0.3403315320611,0.49431973719593236,0.7676962351979455
alibaba2018,missing_30,race_dlinear,0.3,0.4437199728563428,0.019278780557215176,0.3473260700702667,0.531630032432916,0.40655626398802264
alibaba2018,missing_30,dlinear,0.3,0.4514396809972822,0.017574906814843375,0.3635651469230652,0.5067922957616285,0.16481599996041035
alibaba2018,missing_30,last_value,0.3,0.5912828454747796,0.047158350236713824,0.3554910942912101,0.6284000195956121,0.07874584553064776
alibaba2018,missing_variables_30,patchtst,0.05,0.5440480336546898,0.08137994632124895,0.13714830204844472,0.860730122615154,1.2376193695672555
alibaba2018,missing_variables_30,dlinear,0.05,0.5751137100160122,0.07690132781863207,0.19060707092285153,0.794343700818721,0.696999223146122
alibaba2018,missing_variables_30,race_dlinear,0.05,0.6217790935188532,0.09299301542341705,0.15681401640176768,0.8328263744291802,0.45230918985907853
alibaba2018,missing_variables_30,last_value,0.05,0.7280743960291147,0.11207638494670386,0.16769247129559517,0.84912741300527,0.07788036091369573
alibaba2018,missing_variables_30,patchtst,0.15,0.46767168026417494,0.05191228445619338,0.20811025798320767,0.748489131127043,1.2376193695672555
alibaba2018,missing_variables_30,dlinear,0.15,0.514810224995017,0.04919282905757425,0.26884607970714564,0.6840109982667981,0.696999223146122
alibaba2018,missing_variables_30,race_dlinear,0.15,0.5333992810919881,0.06139694619923827,0.22641455009579656,0.7419599691084167,0.45230918985907853
alibaba2018,missing_variables_30,last_value,0.15,0.6353666950017214,0.07988923974335191,0.23592049628496167,0.7742041597670792,0.07788036091369573
alibaba2018,missing_variables_30,patchtst,0.3,0.46879125759005547,0.026991482824087074,0.33383384346961975,0.5327826940392045,1.2376193695672555
alibaba2018,missing_variables_30,race_dlinear,0.3,0.5118142296560109,0.032500340137630646,0.34931252896785736,0.5546498596695582,0.45230918985907853
alibaba2018,missing_variables_30,dlinear,0.3,0.5272195930592716,0.024774195160716724,0.40334861725568766,0.4851614359882621,0.696999223146122
alibaba2018,missing_variables_30,last_value,0.3,0.5932654589414597,0.04776859283447263,0.3544224947690964,0.629093690925004,0.07788036091369573
salesforce_borg,clean,patchtst,0.05,0.18755235988646743,0.017875853925943326,0.09817309025675053,0.3631831983419693,0.6435186212911503
salesforce_borg,clean,dlinear,0.05,0.205798405688256,0.027400161605328273,0.06879759766161438,0.5083635313613772,0.14795924798818297
salesforce_borg,clean,last_value,0.05,0.211753177922219,0.030763515736907675,0.0579355992376804,0.8143638163173326,0.07491773758374612
salesforce_borg,clean,race_dlinear,0.05,0.24230991955846545,0.039076133631169754,0.046929251402616445,0.6206764021784372,0.3743451397895114
salesforce_borg,clean,last_value,0.15,0.19007518386933944,0.0139697232516482,0.12022656761109825,0.5015463485925377,0.07491773758374612
salesforce_borg,clean,dlinear,0.15,0.1923105602618307,0.011745598865672875,0.13358256593346596,0.31150561746657146,0.14795924798818297
salesforce_borg,clean,race_dlinear,0.15,0.1970657872734591,0.01866131497081365,0.10375921241939062,0.4377370618929824,0.3743451397895114
salesforce_borg,clean,patchtst,0.15,0.2098012508358806,0.007559953955933425,0.17200148105621338,0.1817433881555364,0.6435186212911503
salesforce_borg,clean,race_dlinear,0.3,0.24760061444249004,0.007772575947455999,0.20873773470520968,0.24333478722813662,0.3743451397895114
salesforce_borg,clean,last_value,0.3,0.25911377248121426,0.005704983079340275,0.23058885708451268,0.232644103972242,0.07491773758374612
salesforce_borg,clean,dlinear,0.3,0.27119290427071974,0.004782780946698,0.2472789995372295,0.12554423423821576,0.14795924798818297
salesforce_borg,clean,patchtst,0.3,0.313018761051353,0.003726799681317,0.29438476264476776,0.066396012041393,0.6435186212911503
salesforce_borg,delayed_12,patchtst,0.05,0.20616606296971435,0.020365044940262998,0.1043408382683992,0.41522220517594477,0.6413756105757784
salesforce_borg,delayed_12,dlinear,0.05,0.24298944463953373,0.03304095333442085,0.07778467796742912,0.49743584755350884,0.1466263714974047
