source,model,policy,mean_total_cost,worst_total_cost,mean_under_area,mean_over_area,mean_peak_miss,mean_p95_under,latency_p95_ms,params
alibaba2018,reactive_hpa,reactive_baseline,0.34229147657752035,0.3587353527545929,0.0316982857882976,0.18380004763603208,0.00906328419071514,0.19261791706085205,0.0,0.0
alibaba2018,patchtst,forecast_capacity,0.41362095475196836,0.4509141147136688,0.04262164831161494,0.20051271319389338,0.7179207183186951,0.22492921456694606,0.6995057754102162,124184.0
alibaba2018,dlinear,forecast_capacity,0.41748320683836937,0.5042181052267551,0.03836562559008596,0.2256550788879394,0.6951458594730239,0.19492750808596612,0.16729978931834916,2334.0
alibaba2018,race_dlinear,forecast_capacity,0.42246845960617063,0.5202637948095798,0.0426125109195709,0.209405905008316,0.7253862139272271,0.20849633798003203,0.3935490039293653,4668.0
alibaba2018,last_value,forecast_capacity,0.6374298192560672,0.9435819387435912,0.0727158166468143,0.2738507360219955,0.6988001882057716,0.27772816121578214,0.08290551922982556,0.0
alibaba2018,last_observed,reactive_baseline,0.6382570371031762,0.9435819387435912,0.07286864966154094,0.2739137887954711,0.6985080771643664,0.2787039190530777,0.0,0.0
salesforce_borg,reactive_hpa,reactive_baseline,0.15910959973310432,0.1802615541964769,0.0058523371505239995,0.12984791398048398,0.0026142603359172664,0.0,0.0,0.0
salesforce_borg,patchtst,forecast_capacity,0.24493248326083025,0.3072289070114493,0.011103901391227999,0.18941297630469,0.19998586886304906,0.0448473369081814,0.6435058268834837,126232.0
salesforce_borg,race_dlinear,forecast_capacity,0.2808165199433763,0.4600562527775764,0.030311714547375763,0.12925794720649714,0.48506809862187766,0.1361857765664656,0.37306034986007336,4672.0
salesforce_borg,dlinear,forecast_capacity,0.28131755845000345,0.4451749436557293,0.0187500171984235,0.18756747245788574,0.33660031761412573,0.07391852444658667,0.14968301111366597,2336.0
salesforce_borg,last_observed,reactive_baseline,0.7363951119283835,1.231124609708786,0.08829794948299724,0.2949053645133972,0.49655805878552967,0.2927890320618947,0.0,0.0
salesforce_borg,last_value,forecast_capacity,0.7364894437293211,1.231124609708786,0.08829684928059574,0.29500519732634223,0.49601972975882863,0.29306835929552716,0.07550767768407234,0.0
