source,stress,model,pred_len,total_cost,under_area,over_area,peak_miss,p95_ms
alibaba2018,clean,dlinear,12,0.39163520000874996,0.0339576931049426,0.22184673448403672,0.5486518850432632,0.17195704276673487
alibaba2018,clean,race_dlinear,12,0.39268153967956704,0.036080187186598736,0.21228060374657312,0.565480789039967,0.3996665545855649
alibaba2018,clean,patchtst,12,0.4023816554496686,0.040281697486837666,0.20097316801548004,0.5887702152863618,0.6957970224902965
alibaba2018,clean,last_value,12,0.4749614739169677,0.051121500010291664,0.219353973865509,0.649300190564483,0.0759069953346625
alibaba2018,clean,dlinear,24,0.4119774003823598,0.036717355251312235,0.22839062412579855,0.6664379443747386,0.1965219897101633
alibaba2018,clean,race_dlinear,24,0.4137410701562961,0.03829652629792687,0.22225843866666153,0.6727833542450857,0.3831775204162113
alibaba2018,clean,patchtst,24,0.41959534989049035,0.0351749140148361,0.24372077981630955,0.6207294280635717,0.681495014578104
alibaba2018,clean,last_value,24,0.508201951161027,0.056372699017326,0.22633845607439673,0.7411321099958177,0.09495495032751929
alibaba2018,clean,dlinear,48,0.436678775275747,0.03818741006155806,0.24574172496795654,0.7368983128503666,0.1564944832352921
alibaba2018,clean,race_dlinear,48,0.4386393278837204,0.04091892143090561,0.23404472072919205,0.7530219113842174,0.3996995350462384
alibaba2018,clean,patchtst,48,0.45587596235175926,0.0490700124452511,0.21052590012550346,0.7479685478654593,0.6983979998040013
alibaba2018,clean,last_value,48,0.5378824149568876,0.06042980402708047,0.2357333948214849,0.8034443725743855,0.0922210572753101
alibaba2018,clean,dlinear,96,0.4751435338209073,0.040394529079397466,0.2731708884239197,0.7805208333333334,0.1652759936405345
alibaba2018,clean,patchtst,96,0.4788029616077741,0.0471956705053647,0.2428246090809504,0.788423132183908,0.6994390423642471
alibaba2018,clean,race_dlinear,96,0.47884059014419716,0.04505198510984576,0.25358066459496814,0.8018031609195403,0.4100045145605691
alibaba2018,clean,last_value,96,0.5796503523985544,0.06499924759070073,0.25465411444505054,0.8411637931034482,0.0810334488051012
alibaba2018,delayed_12,dlinear,12,0.4322926650444667,0.038826843102773,0.23815844953060147,0.5630794190358467,0.2431219589198006
alibaba2018,delayed_12,race_dlinear,12,0.43418693418304116,0.0417601453761259,0.22538620730241132,0.5713715492377421,0.563943044107873
alibaba2018,delayed_12,patchtst,12,0.44478488837679225,0.04440355673432347,0.22276710470517472,0.5875695302843016,0.817169525544159
alibaba2018,delayed_12,last_value,12,0.946879155933857,0.13062322884798047,0.2937630116939544,0.6317824217140503,2.2211674935533665
alibaba2018,delayed_12,dlinear,24,0.4424650811900695,0.0397745786855618,0.2435921877622604,0.6627228408615642,0.1658445573411882
alibaba2018,delayed_12,race_dlinear,24,0.4456052879492442,0.04264296094576517,0.23239048322041825,0.685170300083647,0.4023299858090468
alibaba2018,delayed_12,patchtst,24,0.4520274189611276,0.04401758685708043,0.23193948467572525,0.6433696675031367,0.6895339611219239
alibaba2018,delayed_12,last_value,24,0.9451297918955485,0.13001555204391477,0.2950520316759745,0.7047358584274362,0.081312988186255
alibaba2018,delayed_12,dlinear,48,0.46437757338086766,0.04198672498265899,0.2544439484675725,0.7527726121172919,0.1712139448500238
alibaba2018,delayed_12,race_dlinear,48,0.4664365593343973,0.04520676719645653,0.2404027233521143,0.7633880444156964,0.4041005551698617
alibaba2018,delayed_12,patchtst,48,0.4681058321148157,0.04485975392162797,0.2438070625066757,0.7231059993531694,0.6974730000365525
alibaba2018,delayed_12,last_value,48,0.9403331528107325,0.12850174307823176,0.2978244374195734,0.7681718952134541,0.0797945103840902
alibaba2018,delayed_12,patchtst,96,0.48898098928232986,0.041982539619008635,0.2790682911872863,0.7385596264367816,0.8502470154780891
alibaba2018,delayed_12,dlinear,96,0.49727311978737515,0.04226608822743097,0.28594267865022016,0.7870186781609195,0.1653390208957716
