source,model,mean_under_rate,mean_over_rate,mean_capacity_cost,worst_capacity_cost,mean_p95_ms,params
alibaba2018,chronos_bolt_reference,0.3684895833333333,0.6315104166666666,0.45134359598159784,0.4843519032001495,11.712522577727212,
alibaba2018,patchtst,0.20903933836709085,0.7649965388249089,0.4598457728113447,0.5287187695503235,0.6649813463029982,124184.0
alibaba2018,official_patchtst,0.20127577005894498,0.7822372328033511,0.5110993832349777,1.1468664407730105,1.9424503094342072,305560.0
alibaba2018,race_dlinear,0.19908845998013378,0.7781850629406405,0.5268589513642448,0.8653669357299805,0.38989863657791696,4668.0
alibaba2018,dlinear,0.18587986431633502,0.7863629351324909,0.5333307938916343,0.9199910759925842,0.14385821216689815,2334.0
alibaba2018,official_itransformer_native,0.21007889285340858,0.7720356774100795,0.5626581251621245,1.1594767570495603,1.9110212638042867,280728.0
alibaba2018,official_timemixer,0.20639319649205348,0.7797021218893768,0.5653537452220916,1.151862859725952,4.664710752258543,128841.0
alibaba2018,last_value,0.2770791439811495,0.6987141022696719,1.3175287927900041,2.932291984558105,0.07366262912650455,0.0
netman,dlinear,0.19662352458830626,0.7294310252115384,14.647521342550005,64.25979614257812,0.3890856190992051,2330.0
netman,race_dlinear,0.18893175969821144,0.7437962659645263,15.473511900220599,69.49796295166016,0.7098921296086959,4660.0
netman,patchtst,0.2396744359492596,0.682963154110344,15.994345477649144,96.6612777709961,1.1477562569780273,120088.0
netman,last_value,0.12018488873505527,0.8137726037501055,83.95285252162388,200.57325744628903,0.2570949042689916,0.0
