source,dataset,stress,model,seeds,mse_mean,mse_std,mae_mean,mae_std,p95_ms_mean,p95_ms_std,capacity_cost_mean,capacity_cost_std,params,memory_mb
alibaba2018,alibaba2018,clean,race_dlinear,3,0.26760092377662653,0.00044934403919037513,0.379167636235555,0.0009500532361135288,0.6118544755736361,0.3136094453849265,0.4035771091779073,0.0062741913476404825,4668.0,17.0
alibaba2018,alibaba2018,clean,dlinear,3,0.2691123783588409,0.0009543357600504726,0.38271921873092646,0.0012956552333429382,0.17964330812295273,0.03398041278126659,0.41427171230316157,0.008179436862326245,2334.0,17.0
alibaba2018,alibaba2018,clean,patchtst,3,0.27740606665611267,0.0031906502621363423,0.3824424147605896,0.0033548374520097762,0.9328324934661697,0.15378492912233552,0.4177037576834361,0.007648151230430742,124184.0,37.0
alibaba2018,alibaba2018,clean,last_value,3,0.4082382917404175,0.0,0.4475463330745697,0.0,0.07955135467151793,0.003265139115778764,0.4657059907913208,0.0,0.0,0.0
alibaba2018,alibaba2018,delayed_12,race_dlinear,3,0.3096987307071686,0.0003441042620572496,0.4144819776217143,0.0002710679900093308,0.48195788306960013,0.07206267477632256,0.4397296706835429,0.0056152482444079945,4668.0,17.0
alibaba2018,alibaba2018,delayed_12,dlinear,3,0.3123135268688202,0.002026981318077348,0.42091032862663263,0.0018087172715390027,0.19965980366881309,0.06872662980550745,0.47190264860788983,0.044349739504912375,2334.0,17.0
alibaba2018,alibaba2018,delayed_12,patchtst,3,0.3238330781459808,0.007340647955755309,0.41961296399434406,0.006916565380969224,0.8155920819262961,0.061830710170574975,0.44368921717007953,0.009116326860968105,124184.0,37.0
alibaba2018,alibaba2018,delayed_12,last_value,3,1.109269142150879,0.0,0.8433666229248047,0.0,0.09221299017857136,0.007114568025489317,2.932291984558105,0.0,0.0,0.0
alibaba2018,alibaba2018,level_shift,race_dlinear,3,0.2677725354830424,0.0005414335722961562,0.3792874614397685,0.0011399894537676455,0.4219251723649599,0.070023760210919,0.40436018506685895,0.0014611789081444115,4668.0,17.0
alibaba2018,alibaba2018,level_shift,dlinear,3,0.2686749200026194,0.0005257967930648673,0.3824012676874797,0.0009513469570232567,0.19132664747303352,0.06580865160605893,0.4247586826483409,0.024519533496118174,2334.0,17.0
