source,model,clean_p95_ms,mean_p95_ms,mean_p50_ms,params,memory_mb,train_seconds,eval_seconds
alibaba2018,last_value,0.0734164976165629,0.07363186268776184,0.0687364999976125,0.0,0.125,,
alibaba2018,dlinear,0.1368915516650304,0.1429873796041647,0.1369283108942909,2334.0,17.0,,
alibaba2018,race_dlinear,0.3549950437445659,0.38553568747374806,0.3611609990912257,4668.0,17.0,,
alibaba2018,patchtst,0.6482360018708277,0.662888178248977,0.6420798763429048,124184.0,37.0,,
alibaba2018,official_itransformer_native,1.960453498759307,1.9192599696301234,1.6508503370763112,280728.0,30.0,,
alibaba2018,official_patchtst,2.15040048933588,1.9655558849788375,1.7281019989038922,305560.0,155.0,,
alibaba2018,official_timemixer,4.968897506478243,4.715408544628493,3.667308332903,128841.0,178.83333333333334,,
alibaba2018,chronos_bolt_reference,10.9500314516481,11.458358869034173,10.71833717287518,,26.0,,
gaia,last_value,0.07374837750830912,0.1793753881884183,0.09684826568445709,0.0,0.0,,
gaia,dlinear,0.10958040929835983,0.2881241910472452,0.1185046551199775,2330.0,16.0,,
gaia,race_dlinear,0.2925852784755989,0.48747835951417035,0.31483534417020564,4660.0,16.0,,
gaia,patchtst,0.6527053717945818,0.9532472844966831,0.6950758604489238,120088.0,36.0,,
netman,last_value,0.0780305010266601,0.23471185386370017,0.08055962553044077,0.0,0.0,,
netman,dlinear,0.2050504044746041,0.36608121727112997,0.12603424966073357,2330.0,16.0,,
netman,race_dlinear,0.7466004994057585,0.7144806758333286,0.34345787480560824,4660.0,16.0,,
netman,patchtst,0.9261370112653818,1.1200538512639464,0.7142075646697776,120088.0,36.0,,
salesforce_borg,last_value,,0.07448492750492205,0.06729185822353297,0.0,0.42857142857142855,,
salesforce_borg,dlinear,,0.14236436316943055,0.13541200522532945,2336.0,17.142857142857142,,
salesforce_borg,race_dlinear,,0.3616419375508225,0.3482637132817347,4672.0,18.0,,
salesforce_borg,patchtst,,0.6464925014630092,0.6264482924182501,126232.0,37.0,,
salesforce_borg,official_patchtst,1.5875509838224389,1.8243612194055459,1.6587341342528816,305560.0,209.0,,
salesforce_borg,official_itransformer_native,1.7226499563548707,1.9429048988968134,1.6792623331033003,280728.0,34.0,,
salesforce_borg,official_timemixer,3.677954550948925,4.368984749938439,3.6764266648485013,129363.0,179.0,,
salesforce_borg,chronos_bolt_reference,10.848486446775496,10.794488647661638,10.590292503669238,,26.0,,
