source,dataset,stress,model,model_id,zero_shot,eval_windows,params,mse,mae,latency_mean_ms,latency_p50_ms,latency_p95_ms,capacity_under_rate,capacity_over_rate,capacity_mean_under,capacity_mean_over,capacity_cost,max_memory_mb,file
alibaba2018,alibaba2018,clean,chronos_bolt_reference,autogluon/chronos-bolt-base,1,512,,0.3913215100765228,0.4690984785556793,21.133432793430984,21.068204077892005,21.424100268632174,0.2479654947916666,0.7520345052083334,2.11702299118042,7.988088130950928,0.3951987326145172,404,chronos_bolt_base_alibaba2018_a6000.csv
alibaba2018,alibaba2018,missing_30,chronos_bolt_reference,autogluon/chronos-bolt-base,1,512,,0.4435369074344635,0.4889156520366668,21.187886595726013,21.180744981393214,21.238174743484706,0.3766276041666667,0.6233723958333334,3.226784467697144,5.123267650604248,0.4240060150623321,404,chronos_bolt_base_alibaba2018_a6000.csv
alibaba2018,alibaba2018,missing_variables_30,chronos_bolt_reference,autogluon/chronos-bolt-base,1,512,,0.5148935914039612,0.5370216965675354,21.15544183179736,21.15641057025641,21.209587645716965,0.3523763020833333,0.6476236979166666,3.4852278232574463,6.491920471191406,0.4818256795406341,404,chronos_bolt_base_alibaba2018_a6000.csv
alibaba2018,alibaba2018,delayed_12,chronos_bolt_reference,autogluon/chronos-bolt-base,1,512,,0.689744770526886,0.6268799304962158,21.04756908956915,21.03457145858556,21.23813845682889,0.5284830729166666,0.4715169270833333,5.695189952850342,3.3164501190185547,0.5996261239051819,404,chronos_bolt_base_alibaba2018_a6000.csv
salesforce_borg,salesforce_borg,clean,chronos_bolt_reference,autogluon/chronos-bolt-base,1,512,,4.71990915684728e-06,0.001965494826436,20.450039580464363,20.44444903731346,20.58502398431301,0.755859375,0.244140625,0.0024947186466306,0.00085850834148,0.0133321024477481,404,chronos_bolt_base_salesforce_borg_a6000.csv
salesforce_borg,salesforce_borg,missing_30,chronos_bolt_reference,autogluon/chronos-bolt-base,1,512,,0.0121419103816151,0.0798427984118461,20.641982299275696,20.461640087887645,21.440755669027567,0.012451171875,0.987548828125,4.6884069888619706e-05,0.1528344005346298,0.1530688256025314,404,chronos_bolt_base_salesforce_borg_a6000.csv
salesforce_borg,salesforce_borg,missing_variables_30,chronos_bolt_reference,autogluon/chronos-bolt-base,1,512,,0.3793144226074219,0.3498897850513458,20.44017093721777,20.439026528038085,20.48474632902071,0.509765625,0.490234375,0.0016850830288603,0.6630002856254578,0.6714256405830383,404,chronos_bolt_base_salesforce_borg_a6000.csv
salesforce_borg,salesforce_borg,delayed_12,chronos_bolt_reference,autogluon/chronos-bolt-base,1,512,,1.0109847784042358,1.004705786705017,20.19015573896468,20.18825151026249,20.24938096292317,0.0,1.0,0.0,1.9094666242599487,1.9094666242599487,404,chronos_bolt_base_salesforce_borg_a6000.csv
alibaba2018,alibaba2018,clean,chronos_bolt_reference,autogluon/chronos-bolt-small,1,512,,0.3877047002315521,0.4668827354907989,12.144139222800732,11.902760015800595,13.282675656955686,0.2569986979166667,0.7430013020833334,2.166735887527466,7.732912063598633,0.3936810493469238,103,chronos_bolt_small_alibaba2018_a6000.csv
alibaba2018,alibaba2018,missing_30,chronos_bolt_reference,autogluon/chronos-bolt-small,1,512,,0.4501855373382568,0.4943288266658783,11.878228257410228,11.875793104991317,11.945618910249324,0.3768717447916667,0.6231282552083334,3.240511178970337,5.16683292388916,0.4249681532382965,103,chronos_bolt_small_alibaba2018_a6000.csv
