source,dataset,stress_family,level,level_label,stress,model,params,calibration_abs_bias,calibration_enabled,mse,mae,latency_p50_ms,latency_p95_ms,latency_mean_ms,capacity_under_rate,capacity_over_rate,capacity_mean_under,capacity_mean_over,capacity_cost,max_memory_mb,clean_mse,relative_mse
alibaba2018,alibaba2018,missing_points,0.0,level_00,clean,race_dlinear,4668,0.0153236808255314,1.0,0.2670906484127044,0.378250777721405,0.4458835028344765,0.964819945511407,0.5248399254924152,0.1831979787484316,0.7986537242524049,1.2956465482711792,7.22486400604248,0.4107328355312347,17,0.2670906484127044,1.0
alibaba2018,alibaba2018,missing_points,0.0,level_00,clean,dlinear,2334,0.0,0.0,0.2696618735790252,0.3836763501167297,0.318803999107331,1.8015009569353413,0.5572711997956503,0.1733670045221664,0.8013898146695944,1.2294085025787354,7.513765811920166,0.4056036472320556,17,0.2696618735790252,1.0
alibaba2018,alibaba2018,missing_points,0.0,level_00,clean,patchtst,124184,0.0,0.0,0.2753048241138458,0.38452810049057,0.887712012627162,2.4352939959499054,1.094326248858124,0.1970940832810539,0.779533357512547,1.4110107421875,6.987593650817871,0.4246212542057037,37,0.2753048241138458,1.0
alibaba2018,alibaba2018,missing_points,0.0,level_00,clean,last_value,0,0.0,0.0,0.4082382917404175,0.4475463330745697,0.1996494975173846,0.5304083097143997,0.2880321262637153,0.2624416758155583,0.6927896114335006,1.969117760658264,7.443387031555176,0.4657059907913208,0,0.4082382917404175,1.0
alibaba2018,alibaba2018,missing_points,0.1,level_10,missing_points,race_dlinear,4668,0.0240446180105209,1.0,0.273030012845993,0.3883621394634247,0.4974330076947808,1.6310585080645974,0.6400089274393395,0.1897186062317022,0.7854535889795065,1.3337771892547607,7.2533860206604,0.4585528671741485,17,0.2670906484127044,1.0222372609021906
alibaba2018,alibaba2018,missing_points,0.1,level_10,missing_points,dlinear,2334,0.0,0.0,0.2735728025436401,0.3885390162467956,0.2348390116821974,0.5254099523881445,0.2834539976902306,0.1827103101474278,0.7947274610518611,1.285153031349182,7.450572490692139,0.4621879160404205,17,0.2696618735790252,1.014503084595193
alibaba2018,alibaba2018,missing_points,0.1,level_10,missing_points,patchtst,124184,0.0,0.0,0.2815791964530945,0.3903372883796692,0.8729019900783896,2.456568882917054,1.1336410250805784,0.2229838129966541,0.7420486328941865,1.4604215621948242,6.952823638916016,0.4269907474517822,37,0.2753048241138458,1.0227906371035984
alibaba2018,alibaba2018,missing_points,0.1,level_10,missing_points,last_value,0,0.0,0.0,0.4777601659297943,0.4867412149906158,0.2212444960605353,0.6353324119118032,0.3132738987915218,0.2749221527342116,0.6844645284399833,2.2530245780944824,7.685952186584473,0.698945939540863,0,0.4082382917404175,1.170297288608054
alibaba2018,alibaba2018,missing_points,0.3,level_30,missing_points,dlinear,2334,0.0,0.0,0.2853326499462127,0.4031970798969269,0.2606289926916361,0.5828055014717393,0.3031036263564601,0.1873672593841489,0.7903347677488498,1.312481164932251,7.669106006622314,0.5168748497962952,17,0.2696618735790252,1.0581126881572123
alibaba2018,alibaba2018,missing_points,0.3,level_30,missing_points,race_dlinear,4668,0.0257433261722326,1.0,0.2854826748371124,0.402814656496048,0.5823029932798818,2.463601907948032,1.09428477298934,0.19603460895023,0.7774818002404852,1.3732997179031372,7.419404029846191,0.4948661923408508,17,0.2670906484127044,1.068860615426673
alibaba2018,alibaba2018,missing_points,0.3,level_30,missing_points,patchtst,124184,0.0,0.0,0.2871730327606201,0.397790789604187,0.8301114867208526,2.465469979506452,1.0139823010831606,0.2163075726683396,0.7473468214136345,1.46340012550354,7.2045087814331055,0.4525007009506225,37,0.2753048241138458,1.0431093377494411
alibaba2018,alibaba2018,missing_points,0.3,level_30,missing_points,last_value,0,0.0,0.0,0.6212767958641052,0.5672229528427124,0.1370399841107428,0.6080515056964941,0.2242689733975567,0.3002045430782099,0.6683387899937264,2.8138985633850098,8.215811729431152,1.2029407024383545,0,0.4082382917404175,1.5218484116603899
alibaba2018,alibaba2018,missing_points,0.5,level_50,missing_points,patchtst,124184,0.0,0.0,0.2899422943592071,0.398109883069992,0.9505815105512738,1.732399960746988,1.0786427512357477,0.2003354049038059,0.7914330431827687,1.3540822267532349,7.56114912033081,0.4688471555709839,37,0.2753048241138458,1.0531682301335492
alibaba2018,alibaba2018,missing_points,0.5,level_50,missing_points,race_dlinear,4668,0.031090235337615,1.0,0.2990930676460266,0.4155109524726867,0.4412385023897514,0.9346745442599058,0.5489139235578477,0.2015076066499372,0.7746848533563363,1.434898853302002,7.503432273864746,0.5436320900917053,17,0.2670906484127044,1.119818568802426
alibaba2018,alibaba2018,missing_points,0.5,level_50,missing_points,dlinear,2334,0.0,0.0,0.2993050515651703,0.4173655807971954,0.225929485168308,1.2618945023859849,0.3981270507210865,0.1893403975846926,0.7893786268820577,1.3476723432540894,7.844595432281494,0.5608506202697754,17,0.2696618735790252,1.109927212151695
alibaba2018,alibaba2018,missing_points,0.5,level_50,missing_points,last_value,0,0.0,0.0,0.7613121867179871,0.6461647152900696,0.1663145085331052,0.7636485024704597,0.2956276781333145,0.3249416758155583,0.6526063722030531,3.357800006866455,8.739028930664062,1.7016913890838623,0,0.4082382917404175,1.8648720664402427
alibaba2018,alibaba2018,missing_points,0.7,level_70,missing_points,patchtst,124184,0.0,0.0,0.3160544037818908,0.4273431599140167,0.9590135014150292,1.6187090426683426,1.0546740006248,0.1999151276923881,0.7746293065140109,1.4283957481384275,7.80034589767456,0.4881035387516022,37,0.2753048241138458,1.1480162209260596
alibaba2018,alibaba2018,missing_points,0.7,level_70,missing_points,race_dlinear,4668,0.0299537628889083,1.0,0.3201052844524383,0.4338070154190063,0.8298240136355162,2.4865989820682444,1.174867551162606,0.208290856336261,0.7694168888540359,1.5193485021591189,7.633386611938477,0.592779278755188,17,0.2670906484127044,1.1984893007478736
alibaba2018,alibaba2018,missing_points,0.7,level_70,missing_points,dlinear,2334,0.0,0.0,0.3253284394741058,0.4418903887271881,0.2913185162469744,2.9874669300625087,0.8004982220882084,0.1903369732852363,0.7882725912275199,1.3870081901550293,8.193732261657715,0.6043764352798462,17,0.2696618735790252,1.2064309839439253
alibaba2018,alibaba2018,missing_points,0.7,level_70,missing_points,last_value,0,0.0,0.0,0.8974429368972778,0.7237454652786255,0.1340400049230083,0.4152714944211764,0.2211279490438755,0.3500945930050188,0.6364132423672104,3.906116962432861,9.232807159423828,2.182715892791748,0,0.4082382917404175,2.19833110968416
alibaba2018,alibaba2018,missing_variables,0.0,level_00,clean,race_dlinear,4668,0.0153236808255314,1.0,0.2670906484127044,0.378250777721405,0.5163790046935901,2.437852486036718,0.8512702741427347,0.1831979787484316,0.7986537242524049,1.2956465482711792,7.22486400604248,0.4107328355312347,17,0.2670906484127044,1.0
alibaba2018,alibaba2018,missing_variables,0.0,level_00,clean,dlinear,2334,0.0,0.0,0.2696618735790252,0.3836763501167297,0.2770589926512912,1.3028183864662417,0.4701228222984355,0.1733670045221664,0.8013898146695944,1.2294085025787354,7.513765811920166,0.4056036472320556,17,0.2696618735790252,1.0
alibaba2018,alibaba2018,missing_variables,0.0,level_00,clean,patchtst,124184,0.0,0.0,0.2753048241138458,0.38452810049057,0.8671135001350194,2.5011479898239486,1.0664619236194994,0.1970940832810539,0.779533357512547,1.4110107421875,6.987593650817871,0.4246212542057037,37,0.2753048241138458,1.0
alibaba2018,alibaba2018,missing_variables,0.0,level_00,clean,last_value,0,0.0,0.0,0.4082382917404175,0.4475463330745697,0.2518699911888689,1.4229739594156836,0.4337122991273645,0.2624416758155583,0.6927896114335006,1.969117760658264,7.443387031555176,0.4657059907913208,0,0.4082382917404175,1.0
alibaba2018,alibaba2018,missing_variables,0.1,level_10,missing_variables,patchtst,124184,0.0,0.0,0.3009186089038849,0.4076876938343048,0.9902169986162336,1.5428069571498777,1.0280924507242162,0.2214346279015056,0.737452540124425,1.4796839952468872,7.430696964263916,0.4764457941055298,37,0.2753048241138458,1.0930379076083574
alibaba2018,alibaba2018,missing_variables,0.1,level_10,missing_variables,race_dlinear,4668,0.0675383955240249,1.0,0.3345676362514496,0.4307242631912231,0.5640489980578423,0.9526505033136344,0.6116321004810743,0.2114794901453366,0.7547766200073192,1.639390230178833,7.341786861419678,0.6162751317024231,17,0.2670906484127044,1.2526370288130821
alibaba2018,alibaba2018,missing_variables,0.1,level_10,missing_variables,dlinear,2334,0.0,0.0,0.3427953124046325,0.4470645189285278,0.2174889959860593,0.6258849520236249,0.2855180515325628,0.1783576432455039,0.7885270447772899,1.3885782957077026,8.422225952148438,0.6254210472106934,17,0.2696618735790252,1.2712042227362754
alibaba2018,alibaba2018,missing_variables,0.1,level_10,missing_variables,last_value,0,0.0,0.0,0.479672908782959,0.4882092773914337,0.2384190011071041,2.290231981896796,0.5955847271252424,0.2751663954673776,0.6844142912222919,2.251717329025269,7.714986801147461,0.7072504758834839,0,0.4082382917404175,1.174982647360194
