source,dataset,stress_family,level,level_label,stress,model,params,calibration_abs_bias,calibration_enabled,mse,mae,latency_p50_ms,latency_p95_ms,latency_mean_ms,capacity_under_rate,capacity_over_rate,capacity_mean_under,capacity_mean_over,capacity_cost,max_memory_mb,clean_mse,relative_mse,panel,policy,mse_raw,mae_raw,under_provision_rate,under_provision_area,over_provision_area,peak_miss_rate,severe_under_rate,p95_under_ratio,total_normalized_cost,pred_len,headroom,best_mse_model,mse_best,best_mae_model,mae_best,best_latency_model,latency_p95_ms_best,best_capacity_model,capacity_cost_best
alibaba2018,alibaba2018,missing_points,0.0,level_00,clean,race_dlinear,4668.0,0.0153236808255314,1.0,0.2670906484127044,0.378250777721405,0.4458835028344765,0.964819945511407,0.5248399254924152,0.1831979787484316,0.7986537242524049,1.2956465482711792,7.22486400604248,0.4107328355312347,17.0,0.2670906484127044,1.0,severity,,,,,,,,,,,,,,,,,,,,
alibaba2018,alibaba2018,missing_points,0.0,level_00,clean,dlinear,2334.0,0.0,0.0,0.2696618735790252,0.3836763501167297,0.318803999107331,1.8015009569353413,0.5572711997956503,0.1733670045221664,0.8013898146695944,1.2294085025787354,7.513765811920166,0.4056036472320556,17.0,0.2696618735790252,1.0,severity,,,,,,,,,,,,,,,,,,,,
alibaba2018,alibaba2018,missing_points,0.0,level_00,clean,patchtst,124184.0,0.0,0.0,0.2753048241138458,0.38452810049057,0.887712012627162,2.4352939959499054,1.094326248858124,0.1970940832810539,0.779533357512547,1.4110107421875,6.987593650817871,0.4246212542057037,37.0,0.2753048241138458,1.0,severity,,,,,,,,,,,,,,,,,,,,
alibaba2018,alibaba2018,missing_points,0.0,level_00,clean,last_value,0.0,0.0,0.0,0.4082382917404175,0.4475463330745697,0.1996494975173846,0.5304083097143997,0.2880321262637153,0.2624416758155583,0.6927896114335006,1.969117760658264,7.443387031555176,0.4657059907913208,0.0,0.4082382917404175,1.0,severity,,,,,,,,,,,,,,,,,,,,
alibaba2018,alibaba2018,missing_points,0.1,level_10,missing_points,race_dlinear,4668.0,0.0240446180105209,1.0,0.273030012845993,0.3883621394634247,0.4974330076947808,1.6310585080645974,0.6400089274393395,0.1897186062317022,0.7854535889795065,1.3337771892547607,7.2533860206604,0.4585528671741485,17.0,0.2670906484127044,1.0222372609021906,severity,,,,,,,,,,,,,,,,,,,,
alibaba2018,alibaba2018,missing_points,0.1,level_10,missing_points,dlinear,2334.0,0.0,0.0,0.2735728025436401,0.3885390162467956,0.2348390116821974,0.5254099523881445,0.2834539976902306,0.1827103101474278,0.7947274610518611,1.285153031349182,7.450572490692139,0.4621879160404205,17.0,0.2696618735790252,1.014503084595193,severity,,,,,,,,,,,,,,,,,,,,
alibaba2018,alibaba2018,missing_points,0.1,level_10,missing_points,patchtst,124184.0,0.0,0.0,0.2815791964530945,0.3903372883796692,0.8729019900783896,2.456568882917054,1.1336410250805784,0.2229838129966541,0.7420486328941865,1.4604215621948242,6.952823638916016,0.4269907474517822,37.0,0.2753048241138458,1.0227906371035984,severity,,,,,,,,,,,,,,,,,,,,
alibaba2018,alibaba2018,missing_points,0.1,level_10,missing_points,last_value,0.0,0.0,0.0,0.4777601659297943,0.4867412149906158,0.2212444960605353,0.6353324119118032,0.3132738987915218,0.2749221527342116,0.6844645284399833,2.2530245780944824,7.685952186584473,0.698945939540863,0.0,0.4082382917404175,1.170297288608054,severity,,,,,,,,,,,,,,,,,,,,
alibaba2018,alibaba2018,missing_points,0.3,level_30,missing_points,dlinear,2334.0,0.0,0.0,0.2853326499462127,0.4031970798969269,0.2606289926916361,0.5828055014717393,0.3031036263564601,0.1873672593841489,0.7903347677488498,1.312481164932251,7.669106006622314,0.5168748497962952,17.0,0.2696618735790252,1.0581126881572123,severity,,,,,,,,,,,,,,,,,,,,
alibaba2018,alibaba2018,missing_points,0.3,level_30,missing_points,race_dlinear,4668.0,0.0257433261722326,1.0,0.2854826748371124,0.402814656496048,0.5823029932798818,2.463601907948032,1.09428477298934,0.19603460895023,0.7774818002404852,1.3732997179031372,7.419404029846191,0.4948661923408508,17.0,0.2670906484127044,1.068860615426673,severity,,,,,,,,,,,,,,,,,,,,
