dataset,proxy_slice,model,window_count,mse,mae,capacity_cost,capacity_under_rate,capacity_over_rate,latency_p50_ms,latency_p95_ms,latency_mean_ms,params,slice_kind
alibaba2018,all_test_windows,dlinear,20000,0.27728044986724854,0.3928138315677643,1.2322355508804321,0.17263333333333333,0.8145104166666667,0.1645500015001744,0.28281996201257903,0.22183250111993402,,
alibaba2018,all_test_windows,race_dlinear,20000,0.2874768376350403,0.40462619066238403,1.3321529626846313,0.17462708333333332,0.80533125,0.5249500391073525,0.9203250141581507,0.5695099971489981,,
alibaba2018,all_test_windows,patchtst,20000,0.2875506579875946,0.4025898873806,0.47600483894348145,0.18693958333333333,0.77295625,2.1856999956071377,4.352499972446818,2.9664299960131757,,
alibaba2018,high_flatline_or_zero_channel,dlinear,1000,0.01641377992928028,0.10488326102495193,10.54001522064209,0.01875,0.819125,0.1645500015001744,0.28281996201257903,0.22183250111993402,,natural_degraded
alibaba2018,high_flatline_or_zero_channel,dlinear,1000,0.2205399125814438,0.36970075964927673,0.2573390603065491,0.11904166666666667,0.8809583333333333,0.1645500015001744,0.28281996201257903,0.22183250111993402,,matched_normal
alibaba2018,high_flatline_or_zero_channel,race_dlinear,1000,0.03856835886836052,0.15168526768684387,11.678276062011719,0.008083333333333333,0.7380416666666667,0.5249500391073525,0.9203250141581507,0.5695099971489981,,natural_degraded
alibaba2018,high_flatline_or_zero_channel,race_dlinear,1000,0.23436181247234344,0.3823523223400116,0.2693406045436859,0.110375,0.889625,0.5249500391073525,0.9203250141581507,0.5695099971489981,,matched_normal
alibaba2018,high_flatline_or_zero_channel,patchtst,1000,0.00851542130112648,0.07354641705751419,1.0753077268600464,0.20725,0.29058333333333336,2.1856999956071377,4.352499972446818,2.9664299960131757,,natural_degraded
alibaba2018,high_flatline_or_zero_channel,patchtst,1000,0.22783765196800232,0.38076311349868774,0.2539331316947937,0.14908333333333335,0.8509166666666667,2.1856999956071377,4.352499972446818,2.9664299960131757,,matched_normal
alibaba2018,high_spike_score,dlinear,1000,0.3600636422634125,0.4666723906993866,0.4625100791454315,0.175625,0.824375,0.1645500015001744,0.28281996201257903,0.22183250111993402,,natural_degraded
alibaba2018,high_spike_score,dlinear,1000,0.29086360335350037,0.41491755843162537,0.3879619836807251,0.168625,0.831375,0.1645500015001744,0.28281996201257903,0.22183250111993402,,matched_normal
alibaba2018,high_spike_score,race_dlinear,1000,0.3652263283729553,0.46555647253990173,0.4615979790687561,0.18804166666666666,0.8119583333333333,0.5249500391073525,0.9203250141581507,0.5695099971489981,,natural_degraded
alibaba2018,high_spike_score,race_dlinear,1000,0.28800317645072937,0.4102573096752167,0.3840174674987793,0.187375,0.812625,0.5249500391073525,0.9203250141581507,0.5695099971489981,,matched_normal
alibaba2018,high_spike_score,patchtst,1000,0.417024165391922,0.495505154132843,0.49957430362701416,0.20183333333333334,0.7981666666666667,2.1856999956071377,4.352499972446818,2.9664299960131757,,natural_degraded
alibaba2018,high_spike_score,patchtst,1000,0.31158551573753357,0.43115177750587463,0.4039359390735626,0.16858333333333334,0.8314166666666667,2.1856999956071377,4.352499972446818,2.9664299960131757,,matched_normal
alibaba2018,high_level_shift_score,dlinear,1000,0.28387022018432617,0.4000192880630493,0.4774327874183655,0.15841666666666668,0.8415833333333333,0.1645500015001744,0.28281996201257903,0.22183250111993402,,natural_degraded
alibaba2018,high_level_shift_score,dlinear,1000,0.15953050553798676,0.2527579665184021,6.611708164215088,0.13745833333333332,0.7701666666666667,0.1645500015001744,0.28281996201257903,0.22183250111993402,,matched_normal
alibaba2018,high_level_shift_score,race_dlinear,1000,0.29803380370140076,0.420087605714798,0.5554808378219604,0.16304166666666667,0.8369583333333334,0.5249500391073525,0.9203250141581507,0.5695099971489981,,natural_degraded
