source,dataset,stress,latency_budget_ms,objective,policy,selected_model,mse,mae,capacity_under_rate,capacity_over_rate,capacity_cost,latency_p95_ms,params,budget_feasible,route_model_count,mse_vs_dlinear,capacity_cost_vs_dlinear,latency_vs_dlinear,capacity_cost_vs_patchtst,latency_vs_patchtst,latency_constrained_regret,latency_constrained_regret_ratio,mse_oracle_gap,capacity_oracle_gap,policy_order,capacity_regret,mse_regret
alibaba2018,alibaba2018,burst,0.2,capacity,fixed_dlinear,dlinear,0.4438340365886688,0.535671055316925,0.1907650107172731,0.764497725846926,0.6317422986030579,0.1419774518581107,2334.0,True,1,0.0,0.0,0.0,0.4074689943889819,-0.7724266317470437,0.0,0.0,0.0,0.0,0,0.0,0.0
alibaba2018,alibaba2018,burst,0.2,capacity,fixed_patchtst,patchtst,0.3237220346927643,0.4194307625293731,0.2099360231074864,0.7620704105238394,0.4488498866558075,0.6238755129743367,124184.0,False,1,-0.2706236836162714,-0.2895047748926608,3.3941872798071127,0.0,0.0,-0.1828924119472503,-0.2895047748926608,-0.2706236836162714,-0.2895047748926608,1,-0.2895047748926608,-0.2706236836162714
alibaba2018,alibaba2018,burst,0.2,capacity,stressroute_v1,dlinear,0.4438340365886688,0.535671055316925,0.1907650107172731,0.764497725846926,0.6317422986030579,0.1419774518581107,2334.0,True,1,0.0,0.0,0.0,0.4074689943889819,-0.7724266317470437,0.0,0.0,0.0,0.0,2,0.0,0.0
alibaba2018,alibaba2018,burst,0.2,capacity,stressroute_v2,dlinear,0.4438340365886688,0.535671055316925,0.1907650107172731,0.764497725846926,0.6317422986030579,0.1419774518581107,2334.0,True,1,0.0,0.0,0.0,0.4074689943889819,-0.7724266317470437,0.0,0.0,0.0,0.0,3,0.0,0.0
alibaba2018,alibaba2018,burst,0.2,capacity,oracle,oracle,0.4438340365886688,0.535671055316925,0.1907650107172731,0.764497725846926,0.6317422986030579,0.1419774518581107,2334.0,True,1,0.0,0.0,0.0,0.4074689943889819,-0.7724266317470437,0.0,0.0,0.0,0.0,4,0.0,0.0
alibaba2018,alibaba2018,burst,0.5,capacity,fixed_dlinear,dlinear,0.4438340365886688,0.535671055316925,0.1907650107172731,0.764497725846926,0.6317422986030579,0.1419774518581107,2334.0,True,1,0.0,0.0,0.0,0.4074689943889819,-0.7724266317470437,0.0409255027770996,0.0692693624592814,0.2032678088309615,0.0692693624592814,0,0.0692693624592814,0.2032678088309615
alibaba2018,alibaba2018,burst,0.5,capacity,fixed_patchtst,patchtst,0.3237220346927643,0.4194307625293731,0.2099360231074864,0.7620704105238394,0.4488498866558075,0.6238755129743367,124184.0,False,1,-0.2706236836162714,-0.2895047748926608,3.3941872798071127,0.0,0.0,-0.1419669091701507,-0.2402892236191117,-0.1223649579717527,-0.2402892236191117,1,-0.2402892236191117,-0.1223649579717527
alibaba2018,alibaba2018,burst,0.5,capacity,stressroute_v1,race_dlinear,0.4016504287719726,0.5032124519348145,0.2319758665307403,0.7232721664575491,0.6306462287902832,0.3564464495866559,4668.0,True,1,-0.0950436522194682,-0.0017349951320314,1.5105849198003714,0.4050270425352318,-0.4286577335159515,0.0398294329643249,0.0674141853205842,0.08890484168155,0.0674141853205842,2,0.0674141853205842,0.08890484168155
alibaba2018,alibaba2018,burst,0.5,capacity,stressroute_v2,dlinear,0.4363265335559845,0.5281273722648621,0.2019344187839816,0.7533279093475533,0.629021406173706,0.3564464495866559,4668.0,True,2,-0.0169151133391827,-0.0043069657285389,1.5105849198003714,0.4014070736661673,-0.4286577335159515,0.0382046103477478,0.0646640559605926,0.1829143974671956,0.0646640559605926,3,0.0646640559605926,0.1829143974671956
alibaba2018,alibaba2018,burst,0.5,capacity,oracle,oracle,0.3688572347164154,0.479506641626358,0.2053174665411961,0.7499134122751987,0.5908167958259583,0.3564464495866559,4668.0,True,2,-0.1689298154069682,-0.0647819575602207,1.5105849198003714,0.3162903977271482,-0.4286577335159515,0.0,0.0,0.0,0.0,4,0.0,0.0
alibaba2018,alibaba2018,burst,1.0,capacity,fixed_dlinear,dlinear,0.4438340365886688,0.535671055316925,0.1907650107172731,0.764497725846926,0.6317422986030579,0.1419774518581107,2334.0,True,1,0.0,0.0,0.0,0.4074689943889819,-0.7724266317470437,0.2315400242805481,0.5785574923893553,0.4633301291111885,0.5785574923893553,0,0.5785574923893553,0.4633301291111885
alibaba2018,alibaba2018,burst,1.0,capacity,fixed_patchtst,patchtst,0.3237220346927643,0.4194307625293731,0.2099360231074864,0.7620704105238394,0.4488498866558075,0.6238755129743367,124184.0,True,1,-0.2706236836162714,-0.2895047748926608,3.3941872798071127,0.0,0.0,0.0486476123332977,0.1215575609000518,0.0673183392244446,0.1215575609000518,1,0.1215575609000518,0.0673183392244446
