dataset,stress,model,seeds,mse_mean,mse_std,capacity_cost_mean,capacity_cost_std,latency_p95_mean,latency_p95_std
alibaba2018,clean,official_itransformer_native,3,0.27487832307815546,0.0004373710377427618,0.3813319206237793,4.150064082581413e-05,1.8306705120873328,0.24446024693021284
alibaba2018,clean,official_patchtst,3,0.27401219805081684,0.0006543258971058992,0.38162867228190106,0.0006361236721379902,1.760421817501386,0.33857716389424325
alibaba2018,clean,official_timemixer,3,0.2738158404827118,0.004411073297735205,0.3808332482973735,0.003300226822048202,3.977792468504049,0.8584057899111948
alibaba2018,delayed_12,official_itransformer_native,3,0.3139868974685669,0.0006401307633900333,0.419273982445399,0.005434124892706952,1.8295344775348592,0.29309759326515206
alibaba2018,delayed_12,official_patchtst,3,0.31557877858479816,0.0047101726729517806,0.41709895928700763,0.007925323365304255,1.772391032136511,0.2231642060937045
alibaba2018,delayed_12,official_timemixer,3,0.31487910946210224,0.0037928400195443206,0.4417543212572734,0.023915167182561196,3.7875980133928047,0.653624797323682
alibaba2018,level_shift,official_itransformer_native,1,0.2806644737720489,,0.3934661448001861,,1.7608159512747077,
alibaba2018,level_shift,official_patchtst,1,0.2833675444126129,,0.4273713827133178,,2.006690503912978,
alibaba2018,level_shift,official_timemixer,1,0.2757658660411834,,0.3958964049816131,,3.6215070256730537,
alibaba2018,missing_30,official_itransformer_native,1,0.3012449145317077,,0.4368639290332794,,2.529840424540452,
alibaba2018,missing_30,official_patchtst,1,0.2869473695755005,,0.4220888018608093,,2.0094209714443423,
alibaba2018,missing_30,official_timemixer,1,0.2859092652797699,,0.4395442008972168,,4.99154699355131,
alibaba2018,missing_variables_30,official_itransformer_native,3,0.5271629293759664,0.003257027933521203,1.1551657915115356,0.0037464025530435235,1.6964518271076183,0.19652097793265183
alibaba2018,missing_variables_30,official_patchtst,3,0.5271191596984863,0.002101282515024009,1.1495958964029949,0.01220289982228463,1.6909382635882746,0.25787790317009984
alibaba2018,missing_variables_30,official_timemixer,3,0.5224411487579346,0.001129958105872331,1.1488499244054158,0.010166548036067894,4.357881823185987,1.2644297948534489
salesforce_borg_256x2048,clean,official_itransformer_native,3,0.028515094270308766,0.0005202069349575604,0.13449355463186896,0.002774910086634128,1.6752756452963995,0.06019963513533635
salesforce_borg_256x2048,clean,official_patchtst,3,0.025380336989959035,0.00010787836590530783,0.13016778727372483,0.0032642063704195388,1.6208209587299887,0.08588660143590515
salesforce_borg_256x2048,clean,official_timemixer,3,0.025228391711910502,0.0007605709627180642,0.12968110541502634,0.0010566367869265236,3.4241088481697566,0.22136576068357813
salesforce_borg_256x2048,delayed_12,official_itransformer_native,3,0.04005683337648707,0.001339310627345717,0.15953052540620166,0.0041070859313698535,1.5412511449540034,0.04336425197011442
salesforce_borg_256x2048,delayed_12,official_patchtst,3,0.03818365807334576,0.0008458937748748268,0.1624746719996134,0.015932723561042538,1.699751953613789,0.23831332896592583
salesforce_borg_256x2048,delayed_12,official_timemixer,3,0.0370339304208755,0.0008498604701559053,0.15737657248973844,0.0009996236410240705,3.6152171519158096,0.6240850758673349
salesforce_borg_256x2048,level_shift,official_timemixer,1,0.0294316746294498,,0.1650648415088653,,3.943601982609834,
salesforce_borg_256x2048,missing_30,official_itransformer_native,1,0.0496115908026695,,0.1959575116634369,,1.6178774938452989,
salesforce_borg_256x2048,missing_30,official_patchtst,1,0.0325454100966453,,0.151774600148201,,1.72124546370469,
salesforce_borg_256x2048,missing_30,official_timemixer,1,0.0301317572593688,,0.1566644012928009,,5.033564050972927,
salesforce_borg_256x2048,missing_variables_30,official_itransformer_native,3,0.2044356117645899,0.011669335146886102,0.4754425287246704,0.006361099907661005,1.54790733892393,0.035288330403039685
salesforce_borg_256x2048,missing_variables_30,official_patchtst,3,0.2200660407543182,0.0018847753969845412,0.48596811294555664,0.0022185174997125345,1.70312762541774,0.27050636607802525
salesforce_borg_256x2048,missing_variables_30,official_timemixer,3,0.21858018139998114,0.0011882383966470137,0.4837331573168437,0.000899090662599748,3.8877041627226085,0.9664274084353546
