dataset,objective,latency_budget_ms,best_route_policy,best_route_capacity_regret,best_fixed_policy,best_fixed_capacity_regret,route_minus_fixed_regret,oracle_capacity_cost,route_p95_ms,route_feasible_rate
alibaba2018,capacity,0.2,stressroute_v1,0.0,fixed_dlinear,0.0,0.0,0.8086668451627096,0.1419774518581107,1.0
alibaba2018,capacity,0.5,stressroute_v2,0.18825996560008784,fixed_dlinear,0.21072074406149696,-0.02246077846140912,0.6819973836342493,0.3564464495866559,1.0
alibaba2018,capacity,1.0,stressroute_v1,0.2959112592481705,fixed_patchtst,0.2959112592481705,0.0,0.45371781786282855,0.6238755129743367,1.0
alibaba2018,capacity,nan,stressroute_v1,0.2959112592481705,fixed_patchtst,0.2959112592481705,0.0,0.45371781786282855,0.6238755129743367,1.0
alibaba2018,mse,0.2,stressroute_v1,0.0,fixed_dlinear,0.0,0.0,0.8086668451627096,0.1419774518581107,1.0
alibaba2018,mse,0.5,stressroute_v2,0.19147637065511813,fixed_dlinear,0.19460371678118035,-0.0031273461260622193,0.6881469736496607,0.3564464495866559,1.0
alibaba2018,mse,1.0,stressroute_v2,0.23748265678218447,fixed_patchtst,0.2299057346117924,0.007576922170392075,0.4737558215856552,0.6238755129743367,1.0
alibaba2018,mse,nan,stressroute_v2,0.2342246429563958,fixed_patchtst,0.2299057346117924,0.0043189083446034116,0.4737558215856552,0.6238755129743367,1.0
salesforce_borg_256x2048,capacity,0.2,stressroute_v1,0.0,fixed_dlinear,0.0,0.0,0.3681682199239731,0.1446480368031188,1.0
salesforce_borg_256x2048,capacity,0.5,stressroute_v1,0.2920210593474452,fixed_dlinear,0.39365393690476363,-0.10163287755731842,0.2617841561635335,0.3144293441437184,1.0
salesforce_borg_256x2048,capacity,1.0,stressroute_v1,0.4911397468813225,fixed_patchtst,0.5150592849224872,-0.0239195380411647,0.20894793172677353,0.5178363418963272,1.0
salesforce_borg_256x2048,capacity,nan,stressroute_v1,0.4911397468813225,fixed_patchtst,0.5150592849224872,-0.0239195380411647,0.20894793172677353,0.5178363418963272,1.0
salesforce_borg_256x2048,mse,0.2,stressroute_v1,0.0,fixed_dlinear,0.0,0.0,0.3681682199239731,0.1446480368031188,1.0
salesforce_borg_256x2048,mse,0.5,stressroute_v2,0.1933092095177731,fixed_dlinear,0.3511031330580088,-0.15779392354023566,0.26820485542217887,0.3993199978140183,1.0
salesforce_borg_256x2048,mse,1.0,stressroute_v2,0.37083620724158095,fixed_patchtst,0.44347459242724335,-0.0726383851856624,0.21810995539029435,0.6407625041902065,1.0
salesforce_borg_256x2048,mse,nan,stressroute_v2,0.37197122245194986,fixed_patchtst,0.44347459242724335,-0.0715033699752935,0.21810995539029435,0.6407625041902065,1.0
